ENV,Variety,Block,Yield_per_acre_metric_tonnes,Avg_tuber_length(in),Avg_tuber_width(in),Lengthbywidth,Sugar_content_uncured_percent_sucrose
Poamoho,HM3,Block1,14.35,11.65,3.65,3.19,20.52
Poamoho,HM4,Block1,4.17,10.3,3.46,2.98,21.46
Poamoho,HM12,Block1,17.78,16,7.66,2.09,11.65
Poamoho,HM16,Block1,9.78,16.72,7.72,2.17,NA
Poamoho,HM17,Block1,3.23,11.42,4.33,2.64,8.67
Poamoho,HM18,Block1,9.72,10.33,4.53,2.28,11.5
Poamoho,HM26,Block1,24.75,15.42,7.3,2.11,9.45
Poamoho,HM32,Block1,4.19,13.78,3.16,4.36,17.54
Poamoho,HM34,Block1,8.53,11.62,2.96,3.93,11.13
Poamoho,HM35,Block1,17.81,9.74,3.96,2.46,8.32
Poamoho,HM39,Block1,12.04,12.18,5.16,2.36,23.34
Poamoho,HM46,Block1,8.36,12.35,6.23,1.98,13.07
Poamoho,Okinawa,Block1,10.09,9.73,2.6,3.74,14.84
Poamoho,Lanikeha,Block1,0.31,NA,NA,NA,NA
Poamoho,Purple Kahanu,Block1,6.74,6.75,3.5,1.93,16.41
Poamoho,Mohihi Ly,Block1,5.45,8.34,3.12,2.67,11.65
Poamoho,HM3,Block2,9.08,9.23,5.72,1.61,NA
Poamoho,HM4,Block2,7.45,12.67,6.23,2.03,11.62
Poamoho,HM12,Block2,13.65,16.16,7.2,2.24,3.8
Poamoho,HM16,Block2,10.78,11.44,6.6,1.73,18.18
Poamoho,HM17,Block2,0,0,0,NA,9.09
Poamoho,HM18,Block2,5.68,10.96,5.66,1.94,6.7
Poamoho,HM26,Block2,14.54,11.02,5.7,1.93,9.77
Poamoho,HM32,Block2,13.25,11.8,2.36,5,1.27
Poamoho,HM34,Block2,7.6,13.14,5.08,2.59,7.46
Poamoho,HM35,Block2,5.85,10.92,5.6,1.95,13.46
Poamoho,HM39,Block2,10.61,13.54,4.14,3.27,6.76
Poamoho,HM46,Block2,6.65,11.96,7.86,1.52,10.75
Poamoho,Okinawa,Block2,0.95,14.1,4.98,2.83,11.61
Poamoho,Lanikeha,Block2,0.34,6.82,2.08,3.28,3
Poamoho,Purple Kahanu,Block2,4.22,7.06,3.35,2.11,
Poamoho,Mohihi Ly,Block2,0,0,0,NA,16.87
Poamoho,HM3,Block3,7.62,11.46,5.38,2.13,10.73
Poamoho,HM4,Block3,6.58,20.83,7.15,2.91,13.85
Poamoho,HM12,Block3,10.5,14.44,5.52,2.62,
Poamoho,HM16,Block3,14.41,16.94,6.86,2.47,3.87
Poamoho,HM17,Block3,0.67,9.8,3.3,2.97,NA
Poamoho,HM18,Block3,11.96,,,NA,24
Poamoho,HM26,Block3,18.43,14.66,6.73,2.18,12.97
Poamoho,HM32,Block3,16.44,9.48,5.98,1.59,10.32
Poamoho,HM34,Block3,4.43,18.32,4.38,4.18,0.17
Poamoho,HM35,Block3,8.03,8.28,4.15,1.99,10.9
Poamoho,HM39,Block3,10.11,7.5,2.96,2.53,NA
Poamoho,HM46,Block3,16.57,10.82,6.86,1.58,NA
Poamoho,Okinawa,Block3,3.37,9.31,5.76,1.62,15.46
Poamoho,Lanikeha,Block3,0.02,NA,NA,NA,15.4
Poamoho,Purple Kahanu,Block3,9.88,12.35,5.9,2.09,6.61
Poamoho,Mohihi Ly,Block3,7.94,6.84,2.6,2.63,7.7
Poamoho,HM3,Block4,9.1,8.1,3.46,2.34,NA
Poamoho,HM4,Block4,7.22,10.28,4.28,2.4,4.65
Poamoho,HM12,Block4,12.65,16.27,7.13,2.28,1.8
Poamoho,HM16,Block4,6.43,13.84,6.92,2,NA
Poamoho,HM17,Block4,0.66,13.3,3.06,4.35,NA
Poamoho,HM18,Block4,7.92,10.15,5.92,1.71,NA
Poamoho,HM26,Block4,14.48,12.8,5.92,2.16,NA
Poamoho,HM32,Block4,3.07,11.8,2.86,4.13,NA
Poamoho,HM34,Block4,7.23,17.4,4.25,4.09,10.32
Poamoho,HM35,Block4,10.39,11.73,7.95,1.47,NA
Poamoho,HM39,Block4,12.2,15.82,7.99,1.98,5.09
Poamoho,HM46,Block4,9.1,11.86,6.36,1.86,NA
Poamoho,Okinawa,Block4,2.54,8.9,5.5,1.62,1.5
Poamoho,Lanikeha,Block4,0.36,NA,NA,NA,NA
Poamoho,Purple Kahanu,Block4,9.18,10.04,4.87,2.06,NA
Poamoho,Mohihi Ly,Block4,18.97,7.56,4.28,1.77,NA